Date,SPY,SPY_Volume,VOO,VOO_Volume,IVV,IVV_Volume,QQQ,QQQ_Volume,DIA,DIA_Volume,TLT,TLT_Volume,GOVT,GOVT_Volume,IEF,IEF_Volume,SHY,SHY_Volume,GLD,GLD_Volume,IAU,IAU_Volume,LQD,LQD_Volume,VCIT,VCIT_Volume,VCSH,VCSH_Volume,IGSB,IGSB_Volume,AMZN,AMZN_Volume,AAPL,AAPL_Volume,MSFT,MSFT_Volume,FB,FB_Volume,GOOG,GOOG_Volume,GOOGL,GOOGL_Volume,NFLX,NFLX_Volume,TSLA,TSLA_Volume
16/10/2020 16:30,348.86,1882260,320.45,76176,350.1,74298,291.44,1754141,286.2,112945,161.66,279347,27.84,18711,121.32,32431,86.44,614,179.18,259627,18.18,895058,135.62,206545,96.08,38758,82.95,30483,54.95,14407,3366.49,253574,121.39,6527030,220.13,2609274,267.7,877508,1564.13,103191,1559.77,120846,548.8,297133,453.42,1004223
16/10/2020 16:31,348.83,2034820,320.47,83686,350.04,92424,291.29,1937743,286.43,136767,161.86,376359,27.84,18723,121.36,47034,86.44,53988,179.32,285589,18.18,987911,135.61,237260,96.12,56111,82.95,32732,54.98,15533,3365.97,290865,121.14,7256749,220.09,2725274,267.51,929888,1568.33,108543,1561.6,123724,548.13,330078,453.25,1216417
16/10/2020 16:32,348.64,2225957,320.24,100169,349.83,108680,291.17,2078970,286.19,145328,161.78,457571,27.85,20760,121.35,101544,86.44,55281,179.07,303075,18.17,1144375,135.63,269134,96.1,58513,82.94,34922,54.97,16068,3359.89,320752,120.93,8021302,219.7,2844876,267.75,970944,1567.04,119376,1564.15,127460,547.7,358181,453.68,1370192
16/10/2020 16:33,348.97,2365141,320.55,107221,350.2,114778,291.24,2177064,286.66,171102,161.83,484428,27.85,21104,121.36,106256,86.45,58970,178.9,322451,18.17,1154592,135.64,297970,96.11,61465,82.94,35008,54.97,16883,3364.02,339947,120.99,8726670,219.99,2939630,267.45,1042412,1565.01,122050,1561.08,130542,547.51,386064,453.55,1514447
16/10/2020 16:34,349.16,2829262,320.74,111316,350.31,130981,291.55,2314285,286.77,193479,161.76,544700,27.85,21219,121.34,122249,86.44,60330,178.91,334138,18.18,1155873,135.69,343079,96.11,61581,82.95,35351,54.97,17897,3373.68,373896,121.06,9231078,220.42,3006868,268.19,1093218,1567.16,126753,1563.96,132723,548.49,414230,455.17,1748622
16/10/2020 16:35,348.98,3062210,320.63,118335,350.23,138951,291.6,2464789,286.51,207662,161.79,565418,27.85,21222,121.36,128695,86.44,66180,178.84,345884,18.17,1211617,135.65,678557,96.11,68507,82.95,35973,54.97,17918,3377.56,403781,121.28,9909981,220.73,3114794,268.5,1171409,1567.72,130662,1564.81,143338,548.69,437341,454.86,2030964
16/10/2020 16:36,348.73,3180136,320.37,126583,349.98,147035,291.52,2584983,286.18,219925,161.78,597795,27.84,21945,121.35,143397,86.44,68102,178.81,371454,18.17,1272193,135.68,686297,96.11,68851,82.95,37033,54.98,19464,3372.99,433157,121.26,10382947,220.55,3174201,268.73,1248635,1568.76,134214,1564.53,146540,548.68,456548,454.37,2135400
16/10/2020 16:37,348.695,3307355.5,320.33,131732,349.94,153052.5,291.55,2691262,286.135,232086,161.92,648921,27.85,109244,121.37,147848,86.44,273658,178.83,382312,18.17,1387227,135.7,816828,96.14,102522,82.95,37724,54.98,19475,3375.59,458237,121.16,10750883,220.45,3222245,269.23,1362189,1567.52,137760,1561.3,150486,548.42,470443,454.46,2326729
16/10/2020 16:38,348.66,3434575,320.29,136881,349.9,159070,291.58,2797541,286.09,244247,161.81,719354,27.85,109300,121.36,158625,86.44,274274,178.87,391573,18.17,1574311,135.7,821903,96.17,385433,82.95,38337,54.97,20597,3371.77,485810,121.15,11269671,220.41,3270192,269.28,1421440,1567.79,139471,1562.885,152806,548.085,494708.5,454.38,2470569.5
16/10/2020 16:39,348.655,3468072.5,320.295,139293.5,349.885,161395.5,291.45,2838796.5,286.18,250581,161.89,769779,27.85,111278,121.36,246634,86.44,276957,178.82,408007,18.18,1646833,135.74,920207,96.17,392633,82.95,38536,54.97,20872,3372,505970,121.1,11618468,220.3,3351017,269.1,1536165,1568.06,141182,1564.47,155126,547.75,518974,454.3,2614410
16/10/2020 16:40,348.65,3501570,320.3,141706,349.87,163721,291.32,2880052,286.27,256915,161.92,784471,27.85,112128,121.36,255348,86.45,280313,178.88,417669,18.17,1772983,135.71,927884,96.17,399998,82.94,38679,54.97,21237,3367.34,528406,120.96,11980277,219.86,3431073,268.77,1609452,1568.19,143556,1564.22,161951,549.48,554593,454.91,2737581
16/10/2020 16:41,348.67,3590022,320.3,144691,349.95,168677,291.52,3014042,286.43,264921,161.89,796052,27.84,112150,121.36,263500,86.44,283158,178.89,427210,18.17,1782142,135.76,939160,96.17,404016,82.94,39984,54.97,21237,3374.15,546760,121.29,12618053,220.47,3476816,268.98,1664419,1569.39,147070,1565.38,166954,551.42,610199,454.5,2900387
16/10/2020 16:42,348.99,3774242,320.6,148665,350.14,175733,291.72,3103210,286.61,290972,161.9,820466,27.84,113318,121.37,276198,86.44,289273,178.83,444244,18.19,1839040,135.77,948716,96.18,415641,82.94,40939,54.97,21372,3373.5,562260,121.18,12963206,220.34,3545375,268.79,1719589,1569.17,152502,1564.76,169442,551.63,670740,454.56,2991447
16/10/2020 16:43,348.91,3910402,320.48,153465,350.09,184517,291.72,3284165,286.52,306033,161.87,849749,27.84,113617,121.36,320317,86.44,290658,178.83,460476,18.18,1875432,135.77,975610,96.19,417189,82.94,42766,54.97,21906,3375.93,582929,121.19,13237134,220.65,3631260,269.03,1791802,1570.09,155031,1565.44,172384,552.35,749409,454.41,3118143
16/10/2020 16:44,349.02,3964484,320.65,158258,350.2,187153,291.82,3628298,286.51,311951,161.95,871433,27.85,113749,121.38,328825,86.44,291799,178.89,464606,18.2,1917040,135.77,978500,96.16,418586,82.94,44059,54.97,27782,3375.04,596295,121.12,13615790,220.45,3669273,269.35,1867536,1568.76,156593,1564.39,175209,552.43,784569,453.28,3266255
16/10/2020 16:45,348.88,4046173,320.5,162932,350.11,189351,291.67,3692667,286.46,315359,161.93,901519,27.85,115418,121.37,333867,86.44,293021,178.95,473334,18.2,1989654,135.79,988954,96.19,428155,82.94,46930,54.97,27839,3381.18,618684,121.02,13970652,220.5,3731476,269.54,1940004,1570.23,160472,1565.04,181748,551.66,821075,452.65,3385563
16/10/2020 16:46,348.8,4148152,320.55,166371,349.88,191595,291.61,3786401,286.28,327647,162.09,955313,27.85,117583,121.39,368443,86.44,295048,179.01,488900,18.2,2199613,135.79,1032982,96.18,429503,82.94,47570,54.97,28229,3378.16,638515,120.85,14558280,220.13,3791971,268.96,2022117,1567.04,163355,1564.06,185330,551.27,846022,452.5,3521276
16/10/2020 16:47,348.71,4270188,320.36,168796,349.98,197846,291.54,3898761,286.41,336313,162.1,962781,27.86,124962,121.4,372176,86.45,301254,179.11,519100,18.2,2225103,135.81,1036622,96.2,433366,82.94,59294,54.97,30531,3380.11,652001,120.99,14989022,220.3,3843561,269.47,2059450,1569.06,165318,1565.99,186710,551.63,862140,453.07,3604321
